Player Name,Position,Team,Games Played,FGM-A,FG%,LNG,1-19,20-29,30-39,40-49,50+,XPM-A,XP%,PTS
Ka'imi Fairbairn,K,HOU,6,18,94.4,43,0-0,6-6,9-9,2-2,0-1,12,100.0,63
Jake Elliott,K,PHI,6,18,88.9,61,0-0,4-4,5-6,3-3,4-5,14,92.9,61
Brandon Aubrey,K,DAL,6,16,100.0,55,0-0,7-7,6-6,1-1,2-2,13,92.3,60
Brett Maher,K,LAR,6,20,80.0,54,0-0,3-3,4-4,6-8,3-5,12,100.0,60
Harrison Butker,K,KC,6,14,100.0,60,0-0,2-2,8-8,2-2,2-2,15,100.0,57
Nick Folk,K,TEN,6,16,100.0,53,0-0,5-5,5-5,3-3,3-3,8,100.0,56
Jake Moody,K,SF,6,12,83.3,57,0-0,5-5,2-2,2-3,1-2,22,100.0,52
Brandon McManus,K,JAC,6,14,85.7,56,0-0,1-1,3-3,6-7,2-3,14,100.0,50
Blake Grupe,K,NO,6,16,81.3,54,0-0,4-5,3-3,3-4,3-4,10,100.0,49
Tyler Bass,K,BUF,6,11,81.8,54,0-0,1-1,4-4,1-1,3-5,20,100.0,47
Greg Zuerlein,K,NYJ,5,15,93.3,52,0-0,4-4,5-5,4-4,1-2,5,100.0,47
Matt Gay,K,IND,6,12,91.7,56,0-0,2-2,2-2,2-3,5-5,13,100.0,46
Justin Tucker,K,BAL,6,13,84.6,50,0-0,5-5,2-2,3-3,1-3,13,92.3,45
Jason Myers,K,SEA,5,15,73.3,55,0-0,2-2,6-7,2-3,1-3,11,100.0,44
Matt Prater,K,ARI,6,13,92.3,62,0-0,2-2,5-5,2-2,3-4,8,87.5,43
Jason Sanders,K,MIA,6,7,71.4,45,0-0,2-2,0-0,3-4,0-1,29,96.6,43
Riley Patterson,K,DET,6,8,87.5,38,0-0,1-1,6-6,0-0,0-1,21,100.0,42
Cairo Santos,K,CHI,6,10,100.0,53,0-0,4-4,2-2,2-2,2-2,12,100.0,42
Dustin Hopkins,K,CLE,5,14,85.7,55,0-0,1-1,1-1,6-8,4-4,5,100.0,41
Evan McPherson,K,CIN,6,12,83.3,54,0-0,2-2,0-0,5-5,3-5,10,100.0,40
Joey Slye,K,WAS,6,12,75.0,51,0-0,1-1,4-4,2-4,2-3,12,100.0,39
Eddy Pineiro,K,CAR,6,11,81.8,56,0-0,1-1,2-2,3-4,3-4,11,100.0,38
Younghoe Koo,K,ATL,6,11,90.9,49,0-0,3-3,4-4,3-4,0-0,8,87.5,37
Daniel Carlson,K,LV,6,11,81.8,47,0-0,6-6,2-2,1-1,0-2,9,100.0,36
Chris Boswell,K,PIT,5,10,100.0,57,0-0,2-2,1-1,4-4,3-3,5,100.0,35
Cameron Dicker,K,LAC,5,8,87.5,50,0-0,3-3,3-3,0-0,1-2,14,100.0,35
Graham Gano,K,NYG,6,13,76.9,57,0-0,2-2,2-3,3-4,3-4,5,100.0,35
Wil Lutz,K,DEN,6,9,88.9,51,0-0,4-4,3-3,0-0,1-2,12,91.7,35
Chase McLaughlin,K,TB,5,10,90.0,57,0-0,3-3,4-4,0-1,2-2,7,100.0,34
Greg Joseph,K,MIN,6,7,85.7,53,0-0,3-3,0-0,1-1,2-3,16,93.8,33
Anders Carlson,K,GB,5,7,100.0,52,0-0,1-1,4-4,0-0,2-2,10,100.0,31
Chad Ryland,K,NE,6,9,55.6,51,0-0,1-1,0-0,3-5,1-3,7,100.0,22
Austin Seibert,K,NYJ,1,1,100.0,34,0-0,0-0,1-1,0-0,0-0,1,100.0,4
Jake Bailey,P,MIA,6,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0
Jake Camarda,P,TB,5,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0
Riley Dixon,P,DEN,6,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0
Ethan Evans,P,LAR,6,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0
Jack Fox,P,DET,6,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0
Thomas Morstead,P,NYJ,6,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0
Bradley Pinion,P,ATL,6,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0
Rigoberto Sanchez,P,IND,6,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0
Jordan Stout,P,BAL,6,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0
Tommy Townsend,P,KC,6,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0
Mitch Wishnowsky,P,SF,6,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0
